,w_star,method,gamma,N,expected_return,wasserstein_distance
75,[0.         0.         0.05640926 0.94359074 0.        ],Bayesian,1.0,50,28.6924100372,0.02256370400000117
76,"[1.41512269e-14 1.06076312e-14 2.28901865e-02 9.77109813e-01
 1.97170196e-14]",Bayesian,1.0,100,28.685035826691113,0.009156074700009984
77,"[0.00000000e+00 1.22124533e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000003,1.409983241856414e-15
78,"[2.19428483e-01 1.36175793e-16 8.71470553e-02 6.93424461e-01
 7.54604712e-17]",Bayesian,5.0,50,28.135241130780006,0.06073648343618271
79,[0.196935 0.       0.       0.803065 0.      ],Bayesian,5.0,100,28.17387705,0.016880267976182688
80,"[2.31724629e-01 4.61436445e-16 0.00000000e+00 7.68275371e-01
 0.00000000e+00]",Bayesian,5.0,200,28.08446770347001,0.030796119576182772
81,"[7.08461068e-13 3.41160433e-12 0.00000000e+00 1.00000000e+00
 6.59300392e-12]",Bayesian,0.1,50,28.68000000026392,0.0642520923622799
82,"[4.63841917e-11 5.01355269e-11 1.50725074e-01 8.49274926e-01
 6.50812564e-11]",Bayesian,0.1,100,28.71315952032867,0.0039620627827249445
83,"[1.82319828e-12 4.75392924e-12 2.37343381e-01 7.62656619e-01
 8.85888968e-12]",Bayesian,0.1,200,28.732215544201658,0.03068526004650804
84,"[0.00000000e+00 7.21644966e-16 7.77156117e-16 1.00000000e+00
 3.16413562e-15]",Bayesian,1.0,50,28.680000000000117,2.020605904732653e-15
85,"[0.00000000e+00 0.00000000e+00 5.55111512e-17 1.00000000e+00
 4.16333634e-16]",Bayesian,1.0,100,28.68000000000001,1.4821477379277218e-15
86,"[0.00000000e+00 0.00000000e+00 1.44328993e-15 1.00000000e+00
 1.11022302e-15]",Bayesian,1.0,200,28.68000000000007,1.598721154132653e-15
87,"[6.03304753e-01 1.14491749e-16 2.60208521e-16 3.96695247e-01
 6.93889390e-17]",Bayesian,5.0,50,27.12950678479001,0.09678436677618277
88,"[2.01227923e-16 9.02056208e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100,28.680000000000007,0.061893732023817295
89,"[8.66482600e-02 0.00000000e+00 0.00000000e+00 9.13351740e-01
 3.26128013e-16]",Bayesian,5.0,200,28.45731397180001,0.02723442802381737
90,"[1.89709359e-13 0.00000000e+00 0.00000000e+00 1.00000000e+00
 4.67709205e-13]",Bayesian,0.1,50,28.68000000001626,0.06425209236429102
91,"[0.00000000e+00 0.00000000e+00 5.36989897e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100,28.68000000015519,0.06425209236334853
92,"[8.24548593e-14 0.00000000e+00 4.06726532e-01 5.93273468e-01
 0.00000000e+00]",Bayesian,0.1,200,28.769479837042155,0.09843852044957875
93,"[2.48873563e-14 2.65068188e-14 1.59239861e-01 8.40760139e-01
 4.82433370e-14]",Bayesian,1.0,50,28.715032769422486,0.06369594440002102
