,w_star,method,gamma,N,expected_return
203,"[0.00000000e+00 8.10072473e-17 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028900000000000002
204,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.82678973e-17]",SAA,0.1,50,0.02868
205,"[6.83657732e-17 0.00000000e+00 1.00000000e+00 6.93889390e-18
 1.90595271e-17]",SAA,0.1,100,0.028900000000000002
206,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.66533454e-16
 0.00000000e+00]",SAA,0.1,200,0.028900000000000002
207,"[5.93005795e-17 1.26084865e-16 1.00000000e+00 0.00000000e+00
 6.82928530e-17]",SAA,0.1,50,0.028900000000000002
208,"[4.26832330e-16 3.99477906e-16 1.00000000e+00 3.74700271e-16
 1.30257655e-16]",SAA,0.1,100,0.028900000000000033
209,[0.         0.         0.93172423 0.06827577 0.        ],SAA,0.1,200,0.0288849793306
210,"[0.00000000e+00 2.17707796e-16 1.00000000e+00 5.55111512e-17
 2.09671363e-16]",SAA,0.1,50,0.02890000000000001
211,[0. 0. 1. 0. 0.],SAA,0.1,100,0.0289
212,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
213,"[0.00000000e+00 0.00000000e+00 2.08166817e-17 1.00000000e+00
 2.15105711e-16]",SAA,0.1,50,0.028680000000000004
