,method,N,w_star
766,SAA,50,-0.2043904773
767,Bayes,50,-0.2064661346
768,SAA,10,-0.1911657133
769,Bayes,10,-0.1895915543
770,SAA,20,-0.2069174158
771,Bayes,20,-0.2056271078
772,SAA,50,-0.2008283915
773,Bayes,50,-0.2026153449
774,SAA,10,-0.2128265488
775,Bayes,10,-0.2079747101
776,SAA,20,-0.1974017437
777,Bayes,20,-0.1954522128
778,SAA,50,-0.193760288
779,Bayes,50,-0.193891468
780,SAA,10,-0.2001767217
781,Bayes,10,-0.2006319796
782,SAA,20,-0.2152421007
783,Bayes,20,-0.2116813422
784,SAA,50,-0.1930850181
785,Bayes,50,-0.1945402904
786,SAA,10,-0.199110101
787,Bayes,10,-0.1992488755
788,SAA,20,-0.2044271279
789,Bayes,20,-0.205915113
790,SAA,50,-0.1867179638
791,Bayes,50,-0.1862685476
792,SAA,10,-0.2123332918
793,Bayes,10,-0.2081638851
794,SAA,20,-0.1951906356
795,Bayes,20,-0.1944410261
796,SAA,50,-0.1917551186
797,Bayes,50,-0.1911892729
798,SAA,10,-0.2081038644
799,Bayes,10,-0.2084914678
800,SAA,20,-0.2229229367
801,Bayes,20,-0.2232465889
802,SAA,50,-0.2065499167
803,Bayes,50,-0.2049789346
804,SAA,10,-0.1951110177
805,Bayes,10,-0.1974558092
806,SAA,20,-0.1976768472
807,Bayes,20,-0.196220389
808,SAA,50,-0.1950464947
809,Bayes,50,-0.1951172125
810,SAA,10,-0.2121023354
811,Bayes,10,-0.2032517611
812,SAA,20,-0.2142555492
813,Bayes,20,-0.2136050753
814,SAA,50,-0.1889463334
815,Bayes,50,-0.1903034113
816,SAA,10,-0.2067300851
817,Bayes,10,-0.203796538
818,SAA,20,-0.2098139535
819,Bayes,20,-0.2107024063
820,SAA,50,-0.2023927818
821,Bayes,50,-0.2009711016
822,SAA,10,-0.1828964527
823,Bayes,10,-0.187256448
824,SAA,20,-0.2181346231
825,Bayes,20,-0.2154042206
826,SAA,50,-0.2095471677
827,Bayes,50,-0.2092440479
828,SAA,10,-0.2027914249
829,Bayes,10,-0.1975237859
830,SAA,20,-0.2003698969
831,Bayes,20,-0.1986331969
832,SAA,50,-0.2078757391
833,Bayes,50,-0.2045530169
834,SAA,10,-0.1863636436
835,Bayes,10,-0.1924960239
836,SAA,20,-0.2027072966
837,Bayes,20,-0.2024695585
838,SAA,50,-0.1912020007
839,Bayes,50,-0.1919386321
840,SAA,10,-0.1961867579
841,Bayes,10,-0.1945999165
842,SAA,20,-0.2096858772
843,Bayes,20,-0.2114441855
844,SAA,50,-0.2038914527
845,Bayes,50,-0.2054583591
846,SAA,10,-0.2001572299
847,Bayes,10,-0.200651673
848,SAA,20,-0.1905264254
849,Bayes,20,-0.1880124011
850,SAA,50,-0.2107469579
851,Bayes,50,-0.2093720066
852,SAA,10,-0.2014181527
853,Bayes,10,-0.1999770022
854,SAA,20,-0.1716053551
855,Bayes,20,-0.1720756533
856,SAA,50,-0.2036465184
857,Bayes,50,-0.2031369048
858,SAA,10,-0.1914838091
859,Bayes,10,-0.1903687186
860,SAA,20,-0.1801648656
861,Bayes,20,-0.1822880328
862,SAA,50,-0.2114915349
863,Bayes,50,-0.2117604033
864,SAA,10,-0.1855213368
865,Bayes,10,-0.1887235514
866,SAA,20,-0.1926669333
867,Bayes,20,-0.1949611842
868,SAA,50,-0.1974403395
869,Bayes,50,-0.1991805451
870,SAA,10,-0.2026578197
871,Bayes,10,-0.1988846972
872,SAA,20,-0.1968383229
873,Bayes,20,-0.1997865779
874,SAA,50,-0.1885543489
875,Bayes,50,-0.1873630244
876,SAA,10,-0.2211941542
877,Bayes,10,-0.2170439053
878,SAA,20,-0.1973034375
879,Bayes,20,-0.1944366409
880,SAA,50,-0.1960667467
881,Bayes,50,-0.1968285467
882,SAA,10,-0.1972645679
883,Bayes,10,-0.1997273912
884,SAA,20,-0.2195153912
885,Bayes,20,-0.2178905564
886,SAA,50,-0.1924069413
887,Bayes,50,-0.1927412791
888,SAA,10,-0.1884433296
889,Bayes,10,-0.1911407561
890,SAA,20,-0.1979957554
891,Bayes,20,-0.1991382401
892,SAA,50,-0.1948471021
893,Bayes,50,-0.1978011694
