,w_star,method,gamma,N,expected_return,mean_variance
105,"[6.44670360e-01 1.04950770e-16 8.50014503e-17 3.55329640e-01
 0.00000000e+00]",SAA,20,200,27.023197175188407,2.341048493010215
106,"[6.32988479e-01 7.86461620e-04 2.96768556e-04 3.58394970e-01
 7.53332090e-03]",Bagging,20,200,27.016655932038628,2.342784322782957
107,"[6.40591579e-01 3.29597460e-17 0.00000000e+00 3.59408421e-01
 1.73472348e-18]",MLE,20,200,27.033679642340132,2.3408975029845367
108,"[2.84786591e-01 0.00000000e+00 9.58767988e-02 6.19336610e-01
 8.19656842e-17]",SAA,20,50,27.969191357125478,2.5253207378873923
109,[0.2342836  0.06984899 0.09125231 0.52778429 0.07683081],Bagging,20,50,27.509852036655342,2.55448518493558
110,[0.65941725 0.02979458 0.01718398 0.29360418 0.        ],MLE,20,50,26.88569092472563,2.3735523159439125
111,"[7.14204442e-01 5.82867088e-16 0.00000000e+00 2.85795558e-01
 0.00000000e+00]",SAA,20,100,26.844494583523755,2.3458388898947655
112,[0.68373453 0.00171756 0.00130289 0.30834827 0.00489674],Bagging,20,100,26.895093608207258,2.346553128147611
113,[0.82471809 0.         0.         0.17528191 0.        ],MLE,20,100,26.560474504691715,2.3620682013610885
114,"[5.74554114e-01 4.68375339e-16 0.00000000e+00 4.25445886e-01
 9.02056208e-17]",SAA,20,200,27.203395926165147,2.3404578199226065
115,"[5.81802634e-01 7.97360225e-17 5.88548307e-17 4.11540360e-01
 6.65700640e-03]",Bagging,20,200,27.154810702886415,2.3415701065407637
116,"[5.71929899e-01 3.76434994e-16 1.17961196e-16 4.28070101e-01
 1.97758476e-16]",MLE,20,200,27.210140160449722,2.340518366935062
117,"[1.00000000e+00 9.71445147e-17 0.00000000e+00 0.00000000e+00
 9.71445147e-17]",SAA,20,50,26.110000000000007,2.4095000000000013
118,[0.78840732 0.02911324 0.01426143 0.15141769 0.01680032],Bagging,20,50,26.480306302707277,2.39184906949108
119,"[1.00000000e+00 0.00000000e+00 1.11022302e-16 8.32667268e-17
 0.00000000e+00]",MLE,20,50,26.110000000000003,2.4095000000000004
120,"[4.22499276e-01 1.09997634e-01 1.24412199e-17 4.67503090e-01
 0.00000000e+00]",SAA,20,100,27.212485069720188,2.363784504186345
121,[0.3761414  0.17304942 0.00376162 0.41473019 0.03231738],Bagging,20,100,26.96823446851592,2.3893205639213777
122,"[5.29766215e-01 2.83326783e-02 0.00000000e+00 4.41901107e-01
 5.61616725e-17]",MLE,20,100,27.220186433437775,2.345971320467686
123,"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.45716772e-16]",SAA,20,200,26.110000000000003,2.4095000000000004
124,"[9.27770506e-01 1.09122638e-03 3.04363066e-04 6.93746623e-02
 1.45924186e-03]",Bagging,20,200,26.28534361446017,2.3881006183258173
125,"[1.00000000e+00 3.78169718e-16 0.00000000e+00 6.93889390e-17
 6.24500451e-17]",MLE,20,200,26.110000000000007,2.4095000000000013
126,"[8.56250552e-01 5.06539255e-16 0.00000000e+00 1.43749448e-01
 2.35922393e-16]",SAA,20,50,26.47943608194009,2.3686382865634235
127,"[6.65531402e-01 1.00587471e-02 9.36695008e-17 2.21851495e-01
 1.02558356e-01]",Bagging,20,50,26.473167841723832,2.371362522703783
128,"[6.89477155e-01 0.00000000e+00 4.47558657e-16 3.10522845e-01
 0.00000000e+00]",MLE,20,50,26.90804371060438,2.343655615575645
129,"[2.01323353e-01 5.82867088e-16 0.00000000e+00 7.98676647e-01
 1.38777878e-16]",SAA,20,100,28.162598983391824,2.4089624812338757
130,"[2.61564662e-01 1.13021247e-02 2.28839840e-16 7.22322088e-01
 4.81112509e-03]",Bagging,20,100,27.946910382074687,2.3894715706453313
